1.543563 2.419433 3.336965 4.423516 5.144875
6.047035 7.015598 8.041872 9.119091 10.04187
11.0923 12.01969 13.01791 14.0259 1.340041
2.07737 3.176413 4.116964 5.038101 6.114494
7.084309 8.028408 9.03864 10.09817 11.0447
12.07985 13.01867 1.397972 2.420439 3.060051
4.192683 5.129699 6.099272 7.111697 8.047313
9.093975 10.03534 11.09188 12.03588 1.322006
2.250917 3.165104 4.228765 5.128965 6.047008
7.079314 8.139445 9.074289 10.11255 11.02636
1.675496 2.431029 3.530327 4.272605 5.131364
6.123441 7.282385 8.162365 9.192013 10.09551
1.561336 2.215275 3.118179 4.195383 5.054943
6.136833 7.025495 8.094499 9.03246 1.390297
2.217597 3.145349 4.081457 5.225397 6.07464
7.08241 8.033873 1.214217 2.470582 3.134164
4.169575 5.013204 6.042209 7.03407 1.625712
2.105839 3.294147 4.04634 5.023921 6.030594
1.569101 2.449642 3.270535 4.305577 5.084231
1.80569 2.118604 3.132028 4.080093 1.512815
2.517176 3.216929 1.299177 2.076172 1.359738
